course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/programming-foundations-with-python--ud036,Android Basics: User Interface,Get noticed and connect with anyone,"In this introductory programming class, you’ll learn Object-Oriented Programming, a must-have technique for software engineers that will allow you to reuse and share code easily. You’ll learn by doing, and will build byte-sized (ha!) mini projects in each lesson to learn and practice programming concepts."
https://in.udacity.com/course/intro-to-artificial-intelligence--cs271,Intro to Computer Science,NA,"Artificial Intelligence (AI) is a field that has a long history but is still constantly and actively growing and changing. In this course, you’ll learn the basics of modern AI as well as some of the representative applications of AI. Along the way, we also hope to excite you about the numerous applications and huge possibilities in the field of AI, which continues to expand human capability beyond our imagination."
https://in.udacity.com/course/craft-your-cover-letter--ud244,Refresh Your Resume,NA,"Introduce yourself with a memorable cover letter. In this short course, you'll use proven writing techniques to show why you are the best person for the job. You’ll learn how to research company values, target your pitch, and craft an authentic story that connects with their mission. We give you the research and writing tools you need to show why you're the best person for the job!"
https://in.udacity.com/course/ios-interview-prep--ud240,Refresh Your Resume,NA,"This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common iOS Developer interview topics ranging from notifications and delegates to the model view controller, and learn best practices for behavioral questions and whiteboard problems. You'll learn how to discuss your interests in iOS development. Senior mobile developers will share their tips for addressing common data issues. When you complete this course, you’ll be ready to showcase your skills during the iOS Developer interview!"
https://in.udacity.com/course/intro-to-descriptive-statistics--ud827-india,Deep Learning,NA,"In this program, you’ll master the skills you need to establish a successful data science career. Our curriculum was developed with leading industry partners to ensure students master the most cutting-edge skills. Demand for qualified employees with advanced data skills has never been higher, and graduates will emerge fully job-ready."
https://in.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Intro to JavaScript,Showcase your value to the company,"In this course, you'll learn how to use Flutter to quickly develop high-quality, interactive mobile applications for iOS and Android devices. Whether you’re just getting started with mobile app development, or experienced with other mobile app frameworks, you’ll enjoy the high-velocity development and quality apps that Flutter enables."
https://in.udacity.com/course/android-interview-prep--ud241,Data Structures & Algorithms in Swift,NA,"This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll work through common Android Developer interview topics ranging from explicit and implicit intents to designing a min stack, and you’ll learn best practices for behavioral questions and whiteboard problems. Upon completing the course, you’ll be ready to showcase your skills during the Android Developer interview!"
https://in.udacity.com/course/intro-to-data-analysis--ud170-india,Intro to Machine Learning,Confidently take on the tech interview,"In this program, you’ll master the skills you need to establish a successful data science career. Our curriculum was developed with leading industry partners to ensure students master the most cutting-edge skills. Demand for qualified employees with advanced data skills has never been higher, and graduates will emerge fully job-ready."
https://in.udacity.com/course/android-basics-user-input--ud836,Intro to HTML and CSS,NA,"Learn the basics of Android and Java programming, and take the first step on your journey to becoming an Android developer!
This course is designed for students who are new to programming, and want to learn how to build Android apps. You don’t need any programming experience to take this course. If you’ve been using a smartphone to surf the web and chat with friends, then you’re our perfect target student!"
https://in.udacity.com/course/how-to-build-a-startup--ep245,Java Programming Basics,NA,"In an introduction to the basics of the famous Customer Development Process, Steve Blank provides insight into the key steps needed to build a successful startup."
https://in.udacity.com/course/vr-interview-prep--ud251,Strengthen Your LinkedIn Network & Brand,NA,"This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You'll review common VR Developer interview topics, including 3D graphics and scene optimization. You'll also learn best practices for answering behavioral questions and solving whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your VR Developer interview!"
https://in.udacity.com/course/intro-to-statistics--st101,Strengthen Your LinkedIn Network & Brand,Confidently take on the tech interview,"Statistics is about extracting meaning from data. In this class, we will introduce techniques for visualizing relationships in data and systematic techniques for understanding the relationships using mathematics."
https://in.udacity.com/course/optimize-your-github--ud247,How to Use Git and GitHub,NA,"GitHub is the preferred platform for showcasing your programming projects. Some technical recruiters and hiring managers even use GitHub to find candidates. In this course, you'll learn GitHub best practices from technical experts. You'll compare different styles for committing changes, forking repos, and merging pull requests. You'll also understand how to organize your code to showcase your technical projects. And you'll learn how to collaborate with other engineers on GitHub. Technical hiring managers will share GitHub profile tips that generate more job opportunities. Gain the confidence you need to establish your presence in the open source community."
https://in.udacity.com/course/intro-to-data-science--ud359,Programming Foundations with Python,NA,"In this program, you’ll analyze real data and build financial models for trading. Whether you want to pursue a new job in finance, launch yourself on the path to a quant trading career, or master the latest AI applications in quantitative finance, this program offers you the opportunity to master valuable data and AI skills."
https://in.udacity.com/course/advanced-android-app-development--ud855,Intro to Artificial Intelligence,NA,"We built this Nanodegree program in partnership with Google specifically to support aspiring Android Developers. The curriculum is designed to transform those with intermediate skills and a working knowledge of Java development best practices into specialists with the Android platform. Successful completion of the program means a diverse portfolio of projects to show employers, an established credential to affirm your achievements, and your own app on the Google Play Store. If your goal is employment as an Android Developer, this program is exactly what you need to succeed."
https://in.udacity.com/course/data-science-interview-prep--ud944,Craft Your Cover Letter,NA,Data science job interviews can be daunting. Technical interviewers often ask you to design an experiment or model. You may need to solve problems using Python and SQL. You will likely need to show how you connect data skills to business decisions and strategy.
https://in.udacity.com/course/android-basics-multiscreen-apps--ud839,Craft Your Cover Letter,Confidently take on the tech interview,This course is a part of the Android Basics Nanodegree by Google.
https://in.udacity.com/course/full-stack-interview-prep--ud252,iOS Interview Prep,NA,"This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common Full Stack Web Developer interview topics like palindrome functions and data structures. You’ll also learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your Full Stack Web Developer interview!"
https://in.udacity.com/course/scalable-microservices-with-kubernetes--ud615,iOS Interview Prep,NA,"This course is designed to teach you about managing application containers, using Kubernetes. We've built this course in partnership with experts such as Kelsey Hightower and Carter Morgan from Google and Netflix’s former Cloud Architect, Adrian Cockcroft (current Technology Fellow at Battery Ventures), who provide critical learning throughout the course."
https://in.udacity.com/course/responsive-web-design-fundamentals--ud893,Intro to Descriptive Statistics,Make your work speak for itself,"In this course you'll learn the fundamentals of responsive web design with Google's Pete LePage! You'll create your own responsive web page that works well on any device - phone, tablet, desktop or anything in between."
https://in.udacity.com/course/linux-command-line-basics--ud595,Build Native Mobile Apps with Flutter,NA,We have built this course for beginners who have no experience with the Linux system and the command-line interface.
https://in.udacity.com/course/introduction-to-computer-vision--ud810,Android Interview Prep,NA,"This course provides an introduction to computer vision including fundamentals of image formation, camera imaging geometry, feature detection and matching, multiview geometry including stereo, motion estimation and tracking, and classification. We’ll develop basic methods for applications that include finding known models in images, depth recovery from stereo, camera calibration, image stabilization, automated alignment (e.g. panoramas), tracking, and action recognition. We focus less on the machine learning aspect of CV as that is really classification theory best learned in an ML course."
